resource,properResName,scientificName
120304003,     Pacific herring sac roe [other gear],Clupea pallasii 
120306000,    Pacific herring spawn on kelp,Clupea pallasii 
120306001,     Pacific herring spawn on kelp [CF retention],Clupea pallasii 
120306002,     Pacific herring spawn on kelp [rod and reel],Clupea pallasii 
120306003,     Pacific herring spawn on kelp [other gear],Clupea pallasii 
120308000,    Pacific herring roe on hair seaweed,Clupea pallasii 
120308001,     Pacific herring roe on hair seaweed [CF retention],Clupea pallasii 
120308002,     Pacific herring roe on hair seaweed [rod and reel],Clupea pallasii 
120308003,     Pacific herring roe on hair seaweed [other gear],Clupea pallasii 
120310000,    Pacific herring roe on hemlock branches,Clupea pallasii 
120310001,     Pacific herring roe on hemlock branches [CF retention],Clupea pallasii 
120310002,     Pacific herring roe on hemlock branches [rod and reel],Clupea pallasii 
120310003,     Pacific herring roe on hemlock branches [other gear],Clupea pallasii 
120400000,   Smelts,  
120400001,    Smelts [CF retention],  
120400002,    Smelts [rod and reel],  
120400003,    Smelts [other gear],  
120402000,    Capelin (grunion),Mallotus villosus 
120402001,     Capelin (grunion) [CF retention],Mallotus villosus 
120402002,     Capelin (grunion) [rod and reel],Mallotus villosus 
120402003,     Capelin (grunion) [other gear],Mallotus villosus 
120404000,"    Eulachon (hooligan, candlefish)",Thaleichthys pacificus 
120404001,"     Eulachon (hooligan, candlefish) [CF retention",Thaleichthys pacificus 
120404002,"     Eulachon (hooligan, candlefish) [rod and reel]",Thaleichthys pacificus 
120404003,"     Eulachon (hooligan, candlefish) [other gear]",Thaleichthys pacificus 
120406000,    Rainbow smelt,Osmerus mordax 
120406001,     Rainbow smelt [CF retention],Osmerus mordax 
120406002,     Rainbow smelt [rod and reel],Osmerus mordax 
120406003,     Rainbow smelt [other gear],Osmerus mordax 
120408000,    Surf smelt,Hypomesus pretiosus 
120408001,     Surf smelt [CF retention],Hypomesus pretiosus 
120408002,     Surf smelt [rod and reel],Hypomesus pretiosus 
120408003,     Surf smelt [other gear],Hypomesus pretiosus 
120410000,    Silver smelt,  
120410001,     Silver smelt [CF retention],  
120410002,     Silver smelt [rod and reel],  
120410003,     Silver smelt [other gear],  
120499000,    Unspecified smelts,  
120499001,     Unspecified smelts [CF retention],  
120499002,     Unspecified smelts [rod and reel],  
120499003,     Unspecified smelts [other gear],  
120600000,   Bass,  
120600001,    Bass [CF retention],  
120600002,    Bass [rod and reel],  
120600003,    Bass [other gear],  
120602000,    Sea bass,  
120602001,     Sea bass [CF retention],  
120602002,     Sea Bass [rod and reel],  
120602003,     Sea bass [other gear],  
120699000,    Unspecified bass,  
120699001,     Unspecified bass [CF retention],  
120699002,     Unspecified bass [rod and reel],  
120699003,     Unspecified bass [other gear],  
120800000,   Blenny,  
120800001,    Blenny [CF retention],  
120800002,    Blenny [rod and reel],  
120800003,    Blenny [other gear],  
121000000,   Cods,  
121000001,    Cods [CF retention],  
121000002,    Cods [rod and reel],  
121000003,    Cods [other gear],  
121002000,    Arctic cod,Boreogadus saida 
121002001,     Arctic cod [CF retention],Boreogadus saida 
121002002,     Arctic cod [rod and reel],Boreogadus saida 
121002003,     Arctic cod [other gear],Boreogadus saida 
121004000,    Pacific (gray) cod,Gadus macrocephalus 
121004001,     Pacific (gray) cod [CF retention],Gadus macrocephalus 
121004002,     Pacific (gray) cod [rod and reel],Gadus macrocephalus 
121004003,     Pacific (gray) cod [other gear],Gadus macrocephalus 
121006000,    Pacific (silver) hake,Merluccius productus 
121006001,     Pacific (silver) hake [CF retention],Merluccius productus 
121006002,     Pacific (silver) hake [rod and reel],Merluccius productus 
121006003,     Pacific (silver) hake [other gear],Merluccius productus 
121008000,    Pacific tomcod,Microgadus proximus 
121008001,     Pacific tomcod [CF retention],Microgadus proximus 
121008002,     Pacific tomcod [rod and reel],Microgadus proximus 
121008003,     Pacific tomcod [other gear],Microgadus proximus 
121010000,    Saffron cod,Eleginus gracilis 
121010001,     Saffron cod [CF retention],Eleginus gracilis 
121010002,     Saffron cod [rod and reel],Eleginus gracilis 
121010003,     Saffron cod [other gear],Eleginus gracilis 
121012000,    Walleye pollock (whiting),Gadus chalcogrammus 
121012001,     Walleye pollock (whiting) [CF retention],Gadus chalcogrammus 
121012002,     Walleye pollock (whiting) [rod and reel],Gadus chalcogrammus 
121012003,     Walleye pollock (whiting) [other gear],Gadus chalcogrammus 
121099000,    Unspecified cods,  
121099001,     Unspecified cods [CF retention],  
121099002,     Unspecified cods [rod and reel],  
121099003,     Unspecified cods [other gear],  
121200000,   Unspecified eels,  
121200001,    Unspecified eels [CF retention],  
121200002,    Unspecified eels [rod and reel],  
121200003,    Unspecified eels [other gear],  
121400000,   Flounders,  
121400001,    Flounders [CF retention],  
121400002,    Flounders [rod and reel],  
121400003,    Flounders [other gear],  
121401000,    Arctic flounder,Liopsetta glacialis 
121401001,     Arctic flounder [CF retention],Liopsetta glacialis 
121401002,     Arctic flounder [rod and reel],Liopsetta glacialis 
121401003,     Arctic flounder [other gear],Liopsetta glacialis 
121402000,    Arrowtooth flounder (turbot),Atheresthes stomias 
121402001,     Arrowtooth flounder (turbot) [CF retention],Atheresthes stomias 
121402002,     Arrowtooth flounder (turbot) [rod and reel],Atheresthes stomias 
121402003,     Arrowtooth flounder (turbot) [other gear],Atheresthes stomias 
121404000,    Greenland halibut (greenland turbot),Reinhardtius hippoglossoides 
121404001,     Greenland halibut (greenland turbot) [CF retention],Reinhardtius hippoglossoides 
121404002,     Greenland halibut (greenland turbot) [rod and reel],Reinhardtius hippoglossoides 
121404003,     Greenland halibut (greenland turbot) [other gear],Reinhardtius hippoglossoides 
121406000,    Starry flounder,Platichthys stellatus 
121406001,     Starry flounder [CF retention],Platichthys stellatus 
121406002,     Starry flounder [rod and reel],Platichthys stellatus 
121406003,     Starry flounder [other gear],Platichthys stellatus 
121499000,    Unspecified flounders,  
121499001,     Unspecified flounders [CF retention],  
121499002,     Unspecified flounders [rod and reel],  
121499003,     Unspecified flounders [other gear],  
121600000,   Greenlings,  
121600001,    Greenlings [CF retention],  
121600002,    Greenlings [rod and reel],  
121600003,    Greenlings [other gear],  
121602000,    Atka mackerel,Pleurogrammus monopterygius 
121602001,     Atka mackerel [CF retention],Pleurogrammus monopterygius 
121602002,     Atka mackerel [rod and reel],Pleurogrammus monopterygius 
121602003,     Atka mackerel [other gear],Pleurogrammus monopterygius 
121604000,    Kelp greenling,Hexagrammos decagrammus 
121604001,     Kelp greenling [CF retention],Hexagrammos decagrammus 
121604002,     Kelp greenling [rod and reel],Hexagrammos decagrammus 
121604003,     Kelp greenling [other gear],Hexagrammos decagrammus 
121606000,    Lingcod,Ophiodon elongatus 
121606001,     Lingcod [CF retention],Ophiodon elongatus 
121606002,     Lingcod [rod and reel],Ophiodon elongatus 
121606003,     Lingcod [other gear],Ophiodon elongatus 
121608000,    Rock greenling,Hexagrammos lagocephalus 
121608001,     Rock greenling [CF retention],Hexagrammos lagocephalus 
121608002,     Rock greenling [rod and reel],Hexagrammos lagocephalus 
121608003,     Rock greenling [other gear],Hexagrammos lagocephalus 
121699000,    Unspecified greenlings,  
121699001,     Unspecified greenlings [CF retention],  
121699002,     Unspecified greenlings [rod and reel],  
121699003,     Unspecified greenlings [other gear],  
121700000,   Greenling roe,  
121700001,    Greenling roe [CF retention],  
121700002,    Greenling roe [rod and reel],  
121700003,    Greenling roe [other gear],  
121800000,   Pacific halibut,Hippoglossus stenolepis 
121800001,    Pacific halibut [CF retention],Hippoglossus stenolepis 
121800002,    Pacific halibut [rod and reel],Hippoglossus stenolepis 
121800003,    Pacific halibut [other gear],Hippoglossus stenolepis 
122000000,   Arctic lamprey,Lampetra camtschatica 
122000001,    Arctic lamprey [CF retention],Lampetra camtschatica 
122000002,    Arctic lamprey [rod and reel],Lampetra camtschatica 
122000003,    Arctic lamprey [other gear],Lampetra camtschatica 
122200000,   Perches,  
122200001,    Perches [CF retention],  
122200002,    Perches [rod and reel],  
122200003,    Perches [other gear],  
122202000,    Sea perch,  
122202001,     Sea perch [CF retention],  
122202002,     Sea perch [rod and reel],  
122202003,     Sea perch [other gear],  
122299000,    Unspecified perches,  
122299001,     Unspecified perches [CF retention],  
122299002,     Unspecified perches [rod and reel],  
122299003,     Unspecified perches [other gear],  
122400000,   Prowfish,Zaprora silenus 
122400001,    Prowfish [CF retention],Zaprora silenus 
122400002,    Prowfish [rod and reel],Zaprora silenus 
122400003,    Prowfish [other gear],Zaprora silenus 
122600000,   Rockfishes,  
122600001,    Rockfishes [CF retention],  
122600002,    Rockfishes [rod and reel],  
122600003,    Rockfishes [other gear],  
122602000,    Black rockfish,Sebastes melanops 
122602001,     Black rockfish [CF retention],Sebastes melanops 
122602002,     Black rockfish [rod and reel],Sebastes melanops 
122602003,     Black rockfish [other gear],Sebastes melanops 
122604000,    Red rockfish,  
122604001,     Red rockfish [CF retention],  
122604002,     Red rockfish [rod and reel],  
122604003,     Red rockfish [other gear],  
122606000,    Yelloweye rockfish,Sebastes ruberrimus 
122606001,     Yelloweye rockfish [CF retention],Sebastes ruberrimus 
122606002,     Yelloweye rockfish [rod and reel],Sebastes ruberrimus 
122606003,     Yelloweye rockfish [other gear],Sebastes ruberrimus 
122608000,    Idiot fish rockfish,  
122608001,     Idiot fish rockfish [CF retention],  
122608002,     Idiot fish rockfish [rod and reel],  
122608003,     Idiot fish rockfish [other gear],  
122610000,    Silvergray rockfish,Sebastes brevispinis 
122610001,     Silvergray rockfish [CF retention],Sebastes brevispinis 
122610002,     Silvergray rockfish [rod and reel],Sebastes brevispinis 
122610003,     Silvergray rockfish [other gear],Sebastes brevispinis 
122612000,    Quillback rockfish,Sebastes maliger 
122612001,     Quillback rockfish [CF retention],Sebastes maliger 
122612002,     Quillback rockfish [rod and reel],Sebastes maliger 
122612003,     Quillback rockfish [other gear],Sebastes maliger 
122614000,    Brown rockfish,Sebastes auriculatus 
122614001,     Brown rockfish [CF retention],Sebastes auriculatus 
122614002,     Brown rockfish [rod and reel],Sebastes auriculatus 
