resource,properResName,scientificName
123604002,     Rock sole [rod and reel],Lepidopsetta spp. 
123604003,     Rock sole [other gear],Lepidopsetta spp. 
123606000,    Yellowfin sole,Limanda aspera 
123606001,     Yellowfin sole [CF retention],Limanda aspera 
123606002,     Yellowfin sole [rod and reel],Limanda aspera 
123606003,     Yellowfin sole [other gear],Limanda aspera 
123699000,    Unspecified soles,  
123699001,     Unspecified soles [CF retention],  
123699002,     Unspecified soles [rod and reel],  
123699003,     Unspecified soles [other gear],  
123800000,   Stickleback (needlefish),  
123800001,    Stickleback (needlefish) [CF retention],  
123800002,    Stickleback (needlefish) [rod and reel],  
123800003,    Stickleback (needlefish) [other gear],  
124000000,   Tuna/mackerel,  
124000001,    Tuna/mackerel [CF retention],  
124000002,    Tuna/mackerel [rod and reel],  
124000003,    Tuna/mackerel [other gear],  
124002000,    Pacific bluefin tuna,Thunnus orientalis 
124002001,     Pacific bluefin tuna [CF retention],Thunnus orientalis 
124002002,     Pacific bluefin tuna [rod and reel],Thunnus orientalis 
124002003,     Pacific bluefin tuna [other gear],Thunnus orientalis 
124004000,    Unspecified mackerels,  
124004001,     Unspecified mackerels [CF retention],  
124004002,     Unspecified mackerels [rod and reel],  
124004003,     Unspecified mackerels [other gear],  
124099000,    Unspecified tuna/mackerel,  
124099001,     Unspecified tuna/mackerel [CF retention],  
124099002,     Unspecified tuna/mackerel [rod and reel],  
124099003,     Unspecified tuna/mackerel [other gear],  
124200000,   Wolffishes,Anarhichas spp. 
124200001,    Wolffishes [CF retention],Anarhichas spp. 
124200002,    Wolffishes [rod and reel],Anarhichas spp. 
124200003,    Wolffishes [other gear],Anarhichas spp. 
124400000,   Wrymouths,Cryptacanthodes spp. 
124400001,    Wrymouths [CF retention],Cryptacanthodes spp. 
124400002,    Wrymouths [rod and reel],Cryptacanthodes spp. 
124400003,    Wrymouths [other gear],Cryptacanthodes spp. 
124402000,    Dwarf wrymouth,Cryptacanthodes aleutensis 
124402001,     Dwarf wrymouth [CF retention],Cryptacanthodes aleutensis 
124402002,     Dwarf wrymouth [rod and reel],Cryptacanthodes aleutensis 
124402003,     Dwarf wrymouth [other gear],Cryptacanthodes aleutensis 
124404000,    Giant wrymouth,Cryptacanthodes giganteus 
124404001,     Giant wrymouth [CF retention],Cryptacanthodes giganteus 
124404002,     Giant wrymouth [rod and reel],Cryptacanthodes giganteus 
124404003,     Giant wrymouth [other gear],Cryptacanthodes giganteus 
124499000,    Unspecified wrymouths,Cryptacanthodes spp. 
124499001,     Unspecified wrymouths [CF retention],Cryptacanthodes spp. 
124499002,     Unspecified wrymouths [rod and reel],Cryptacanthodes spp. 
124499003,     Unspecified wrymouths [other gear],Cryptacanthodes spp. 
124600000,   Alaska blackfish,Dallia pectoralis 
124600001,    Alaska blackfish [CF retention],Dallia pectoralis 
124600002,    Alaska blackfish [rod and reel],Dallia pectoralis 
124600003,    Alaska blackfish [other gear],Dallia pectoralis 
124800000,   Burbot,Lota lota 
124800001,    Burbot [CF retention],Lota lota 
124800002,    Burbot [rod and reel],Lota lota 
124800003,    Burbot [other gear],Lota lota 
125000000,   Chars,Salvelinus spp. 
125000001,    Chars [CF retention],Salvelinus spp. 
125000002,    Chars [rod and reel],Salvelinus spp. 
125000003,    Chars [other gear],Salvelinus spp. 
125002000,    Arctic char,Salvelinus alpinus 
125002001,     Arctic char [CF retention],Salvelinus alpinus 
125002002,     Arctic char [rod and reel],Salvelinus alpinus 
125002003,     Arctic char [other gear],Salvelinus alpinus 
125004000,    Brook trout,Salvelinus fontinalis 
125004001,     Brook trout [CF retention],Salvelinus fontinalis 
125004002,     Brook trout [rod and reel],Salvelinus fontinalis 
125004003,     Brook trout [other gear],Salvelinus fontinalis 
125006000,    Dolly Varden,Salvelinus malma 
125006001,     Dolly Varden [CF retention],Salvelinus malma 
125006002,     Dolly Varden [rod and reel],Salvelinus malma 
125006003,     Dolly Varden [other gear],Salvelinus malma 
125006010,"     Dolly Varden, freshwater",Salvelinus malma 
125006011,"Dolly Varden, freshwater [CF retention]",Salvelinus malma 
125006012,"Dolly Varden, freshwater [rod and reel]",Salvelinus malma 
125006013,"Dolly Varden, freshwater [other gear]",Salvelinus malma 
125006020,"     Dolly Varden, saltwater",Salvelinus malma 
125006021,"Dolly Varden, saltwater [CF retention]",Salvelinus malma 
125006022,"Dolly Varden, saltwater [rod and reel]",Salvelinus malma 
125006023,"Dolly Varden, saltwater [other gear]",Salvelinus malma 
125006030,"     Dolly Varden, Togiak trout",Salvelinus malma 
125006031,"Dolly Varden, Togiak trout [CF retention]",Salvelinus malma 
125006032,"Dolly Varden, Togiak trout [rod and reel]",Salvelinus malma 
125006033,"Dolly Varden, Togiak trout [other gear]",Salvelinus malma 
125006990,"     Dolly Varden, unknown type",Salvelinus malma 
125006991,"Dolly Varden, unknown type [CF retention]",Salvelinus malma 
125006992,"Dolly Varden, unknown type [rod and reel]",Salvelinus malma 
125006993,"Dolly Varden, unknown type [other gear]",Salvelinus malma 
125008000,    Dolly Varden–fingerling,Salvelinus malma 
125008001,     Dolly Varden–fingerling [CF retention],Salvelinus malma 
125008002,     Dolly Varden–fingerling [rod and reel],Salvelinus malma 
125008003,     Dolly Varden–fingerling [other gear],Salvelinus malma 
125010000,    Lake trout,Salvelinus namaycush 
125010001,     Lake trout [CF retention],Salvelinus namaycush 
125010002,     Lake trout [rod and reel],Salvelinus namaycush 
125010003,     Lake trout [other gear],Salvelinus namaycush 
125012000,    Arctic char/Dolly Varden,Salvelinus alpinus/malma 
125012001,     Arctic char/Dolly Varden [CF Retention],Salvelinus alpinus/malma 
125012002,     Arctic char/Dolly Varden [Rod and Reel],Salvelinus alpinus/malma 
125012003,     Arctic char/Dolly Varden [Other Gear],Salvelinus alpinus/malma 
125099000,    Unspecified chars,Salvelinus spp. 
125099001,     Unspecified chars [CF retention],Salvelinus spp. 
125099002,     Unspecified chars [rod and reel],Salvelinus spp. 
125099003,     Unspecified chars [other gear],Salvelinus spp. 
125200000,   Arctic grayling,Thymallus arcticus 
125200001,    Arctic grayling [CF retention],Thymallus arcticus 
125200002,    Arctic grayling [rod and reel],Thymallus arcticus 
125200003,    Arctic grayling [other gear],Thymallus arcticus 
125400000,   Northern pike,Esox lucius 
125400001,    Northern pike [CF retention],Esox lucius 
125400002,    Northern pike [rod and reel],Esox lucius 
125400003,    Northern pike [other gear],Esox lucius 
125402000,    Northern pike (large),Esox lucius 
125402001,     Northern pike (large) [CF retention],Esox lucius 
125402002,     Northern pike (large) [rod and reel],Esox lucius 
125402003,     Northern pike (large) [other gear],Esox lucius 
125404000,"    Northern pike (small, pickle)",Esox lucius 
125404001,"     Northern pike (small, pickle) [CF retention]",Esox lucius 
125404002,"     Northern pike (small, pickle) [rod and reel]",Esox lucius 
125404003,"     Northern pike (small, pickle) [other gear]",Esox lucius 
125499000,    Northern pike,Esox lucius 
125499001,     Northern pike [CF retention],Esox lucius 
125499002,     Northern pike [rod and reel],Esox lucius 
125499003,     Northern pike [other gear],Esox lucius 
125500000,   Northern pike,Esox lucius 
125500001,    Northern pike [CF retention],Esox lucius 
125500002,    Northern pike [rod and reel],Esox lucius 
125500003,    Northern pike [other gear],Esox lucius 
125600000,   Sheefish,Stenodus leucichthys 
125600001,    Sheefish [CF retention],Stenodus leucichthys 
125600002,    Sheefish [rod and reel],Stenodus leucichthys 
125600003,    Sheefish [other gear],Stenodus leucichthys 
125800000,   Sturgeons,Acipenser spp. 
125800001,    Sturgeons [CF retention],Acipenser spp. 
125800002,    Sturgeons [rod and reel],Acipenser spp. 
125800003,    Sturgeons [other gear],Acipenser spp. 
125802000,    Green sturgeon,Acipenser medirostris 
125802001,     Green sturgeon [CF retention],Acipenser medirostris 
125802002,     Green sturgeon [rod and reel],Acipenser medirostris 
125802003,     Green sturgeon [other gear],Acipenser medirostris 
125804000,    White sturgeon,Acipenser transmontanus 
125804001,     White sturgeon [CF retention],Acipenser transmontanus 
125804002,     White sturgeon [rod and reel],Acipenser transmontanus 
125804003,     White sturgeon [other gear],Acipenser transmontanus 
125899000,    Unspecified sturgeons,Acipenser spp. 
125899001,     Unspecified sturgeons [CF retention],Acipenser spp. 
125899002,     Unspecified sturgeons [rod and reel],Acipenser spp. 
125899003,     Unspecified sturgeons [other gear],Acipenser spp. 
126000000,   Longnose sucker,Catostomus catostomus 
126000001,    Longnose sucker [CF retention],Catostomus catostomus 
126000002,    Longnose sucker [rod and reel],Catostomus catostomus 
126000003,    Longnose sucker [other gear],Catostomus catostomus 
126200000,   Trouts,  
126200001,    Trouts [CF retention],  
126200002,    Trouts [rod and reel],  
126200003,    Trouts [other gear],  
126202000,    Cutthroat trout,Oncorhynchus clarkii 
126202001,     Cutthroat trout [CF retention],Oncorhynchus clarkii 
126202002,     Cutthroat trout [rod and reel],Oncorhynchus clarkii 
126202003,     Cutthroat trout [other gear],Oncorhynchus clarkii 
126204000,    Rainbow trout,Oncorhynchus mykiss 
126204001,     Rainbow trout [CF retention],Oncorhynchus mykiss 
126204002,     Rainbow trout [rod and reel],Oncorhynchus mykiss 
126204003,     Rainbow trout [other gear],Oncorhynchus mykiss 
126206000,    Steelhead,Oncorhynchus mykiss 
126206001,     Steelhead [CF retention],Oncorhynchus mykiss 
126206002,     Steelhead [rod and reel],Oncorhynchus mykiss 
126206003,     Steelhead [other gear],Oncorhynchus mykiss 
126299000,    Unspecified trouts,  
126299001,     Unspecified trouts [CF retention],  
126299002,     Unspecified trouts [rod and reel],  
126299003,     Unspecified trouts [other gear],  
126400000,   Whitefishes,  
126400001,    Whitefishes [CF retention],  
126400002,    Whitefishes [rod and reel],  
126400003,    Whitefishes [other gear],  
126402000,    Alaska whitefish,Coregonus nelsonii 
126402001,     Alaska whitefish [CF retention],Coregonus nelsonii 
126402002,     Alaska whitefish [rod and reel],Coregonus nelsonii 
126402003,     Alaska whitefish [other gear],Coregonus nelsonii 
126404000,    Broad whitefish,Coregonus nasus 
126404001,     Broad whitefish [CF retention],Coregonus nasus 
126404002,     Broad whitefish [rod and reel],Coregonus nasus 
126404003,     Broad whitefish [other gear],Coregonus nasus 
126406000,    Ciscoes,Coregonus spp. 
126406001,     Ciscoes [CF retention],Coregonus spp. 
126406002,     Ciscoes [rod and reel],Coregonus spp. 
126406003,     Ciscoes [other gear],Coregonus spp. 
126406020,     Arctic cisco,Coregonus autumnalis 
126406021,Arctic cisco [CF retention],Coregonus autumnalis 
126406022,Arctic cisco [rod and reel],Coregonus autumnalis 
126406023,Arctic cisco [other gear],Coregonus autumnalis 
126406040,     Bering cisco,Coregonus laurettae 
126406041,Bering cisco [CF retention],Coregonus laurettae 
126406042,Bering cisco [rod and reel],Coregonus laurettae 
126406043,Bering cisco [other gear],Coregonus laurettae 
126406060,     Least cisco,Coregonus sardinella 
126406061,Least cisco [CF retention],Coregonus sardinella 
126406062,Least cisco [rod and reel],Coregonus sardinella 
126406063,Least cisco [other gear],Coregonus sardinella 
126406990,     Unspecified ciscoes,Coregonus spp. 
126406991,Unspecified ciscoes [CF retention],Coregonus spp. 
126406992,Unspecified ciscoes [rod and reel],Coregonus spp. 
126406993,Unspecified ciscoes [other gear],Coregonus spp. 
126408000,    Humpback whitefish,Coregonus pidschian 
126408001,     Humpback whitefish [CF retention],Coregonus pidschian 
126408002,     Humpback whitefish [rod and reel],Coregonus pidschian 
126408003,     Humpback whitefish [other gear],Coregonus pidschian 
126410000,    Lake whitefish,Coregonus clupeaformis 
126410001,     Lake whitefish [CF retention],Coregonus clupeaformis 
126410002,     Lake whitefish [rod and reel],Coregonus clupeaformis 
126410003,     Lake whitefish [other gear],Coregonus clupeaformis 
126412000,    Round whitefish,Prosopium cylindraceum 
126412001,     Round whitefish [CF retention],Prosopium cylindraceum 
126412002,     Round whitefish [rod and reel],Prosopium cylindraceum 
126412003,     Round whitefish [other gear],Prosopium cylindraceum 
126499000,    Unspecified whitefishes,  
126499001,     Unspecified whitefishes [CF retention],  
126499002,     Unspecified whitefishes [rod and reel],  
126499003,     Unspecified whitefishes [other gear],  
126500000,   Whitefish eggs,  
126599000,    Unspecified whitefish eggs,  
126600000,   Mahi-mahi,  
126600001,    Mahi-mahi [CF retention],  
126600002,    Mahi-mahi [rod and reel],  
126600003,    Mahi-mahi [other gear],  
126800000,   Swordfish,  
126800001,    Swordfish [CF retention],  
126800002,    Swordfish [rod and reel],  
126800003,    Swordfish [other gear],  
129700000,   Unspecified marine nonsalmon fish,  
129700001,    Unspecified marine nonsalmon fish [CF retention],  
129700002,    Unspecified marine nonsalmon fish [rod and reel],  
129700003,    Unspecified marine nonsalmon fish [other gear],  
129800000,   Unspecified freshwater nonsalmon fish,  
129800001,    Unspecified freshwater nonsalmon fish [CF retention],  
129800002,    Unspecified freshwater nonsalmon fish [rod and reel],  
129800003,    Unspecified freshwater nonsalmon fish [other gear],  
129900000,   Unspecified nonsalmon fish,  
129900001,    Unspecified nonsalmon fish [CF retention],  
129900002,    Unspecified nonsalmon fish [rod and reel],  
129900003,    Unspecified nonsalmon fish [other gear],  
190000000,  Unspecified fishes,  
200000000, Land mammals,  
210000000,  Large land mammals,  
210000001,"   Large land mammals, male",  
210000002,"   Large land mammals, female",  
210000009,"   Large land mammals, unknown sex",  
210400000,   Bison,Bison bison 
210400001,"    Bison, male",Bison bison 
210400002,"    Bison, female",Bison bison 
210400009,"    Bison, unknown sex",Bison bison 
210600000,   Black bear,Ursus americanus 
210600001,"    Black bear, male",Ursus americanus 
210600002,"    Black bear, female",Ursus americanus 
210600009,"    Black bear, unknown sex",Ursus americanus 
210800000,   Brown bear,Ursus arctos 
210800001,"    Brown bear, male",Ursus arctos 
210800002,"    Brown bear, female",Ursus arctos 
210800009,"    Brown bear, unknown sex",Ursus arctos 
211000000,   Caribou,Rangifer tarandus 
211000001,"    Caribou, male",Rangifer tarandus 
211000002,"    Caribou, female",Rangifer tarandus 
211000009,"    Caribou, unknown sex",Rangifer tarandus 
211200000,   Deer,Odocoileus hemionus 
211200001,"    Deer, male",Odocoileus hemionus 
211200002,"    Deer, female",Odocoileus hemionus 
211200009,"    Deer, unknown sex",Odocoileus hemionus 
211400000,   Elk,Cervus canadensis 
211400001,"    Elk, male",Cervus canadensis 
211400002,"    Elk, female",Cervus canadensis 
211400009,"    Elk, unknown sex",Cervus canadensis 
211600000,   Mountain goat,Oreamnos americanus 
211600001,"    Mountain goat, male",Oreamnos americanus 
211600002,"    Mountain goat, female",Oreamnos americanus 
211600009,"    Mountain goat, unknown sex",Oreamnos americanus 
211800000,   Moose,Alces alces 
211800001,"    Moose, male",Alces alces 
211800002,"    Moose, female",Alces alces 
211800009,"    Moose, unknown sex",Alces alces 
212000000,   Common muskox,Ovibos moschatus 
212000001,"    Common muskox, male",Ovibos moschatus 
212000002,"    Common muskox, female",Ovibos moschatus 
212000009,"    Common muskox, unknown sex",Ovibos moschatus 
212200000,   Dall sheep,Ovis dalli 
212200001,"    Dall sheep, male",Ovis dalli 
212200002,"    Dall sheep, female",Ovis dalli 
212200009,"    Dall sheep, unknown sex",Ovis dalli 
212400000,   Antelope,  
212400001,"    Antelope, male",  
212400002,"    Antelope, female",  
212400009,"    Antelope, unknown sex",  
219900000,   Unspecified large land mammals,  
219900001,"    Unspecified large land mammals, male",  
219900002,"    Unspecified large land mammals, female",  
219900009,"    Unspecified large land mammals, unknown sex",  
220000000,  Small land mammals,  
220000001,   Small land mammals [fur only],  
220000002,   Small land mammals [food only],  
220000003,   Small land mammals [fur and food],  
220200000,   Beaver,Castor canadensis 
220400000,   Coyote,Canis latrans 
220800000,   Foxes,Vulpes spp. 
220802000,    Arctic fox,Vulpes lagopus 
220804000,    Red fox,Vulpes vulpes 
220804020,"     Red fox, cross phase",Vulpes vulpes 
220804040,"     Red fox, red phase",Vulpes vulpes 
220899000,    Unspecified foxes,Vulpes spp. 
221000000,   Hares,Lepus spp. 
221002000,    Alaska hare,Lepus othus 
221004000,    Snowshoe hare,Lepus americanus 
221006000,    Alaska hare,Lepus othus 
221008000,    Arctic hare,Lepus arcticus 
221099000,    Unspecified hares,Lepus spp. 
221200000,   River otter,Lontra canadensis 
221400000,   Lemmings,  
221600000,   Lynx,Lynx canadensis 
221800000,   Marmots,Marmota spp. 
222000000,   Martens,Martes spp. 
222200000,   Mink,Neovison vison 
222400000,   Muskrat,Ondatra zibethicus 
222600000,   Porcupine,Erethizon dorsatum 
222800000,   Squirrels,  
222802000,    Arctic ground squirrel,Spermophilus parryii 
222804000,    Red squirrel,Tamiasciurus hudsonicus 
222806000,    Northern flying squirrel,Glaucomys sabrinus Zaphaeus
222899000,    Unspecified squirrels,  
223000000,   Weasels,Mustela spp. 
223200000,   Gray wolf,Canis lupus 
223400000,   Wolverine,Gulo gulo 
229900000,   Unspecified small land mammals or furbearers,  
230000000,  Feral animals,  
230200000,"   Bison, feral",  
230400000,"   Cattle, feral",Bos taurus 
230400001,"    Cattle - feral, male",Bos taurus 
230400002,"    Cattle - feral, female",Bos taurus 
230400009,"    Cattle - feral, unknown sex",Bos taurus 
230600000,"   Rabbit, feral",  
230800000,"   Reindeer, feral",  
230800001,"    Reindeer - feral, male",  
230800002,"    Reindeer - feral, female",  
230800009,"    Reindeer - feral, unknown sex",  
231000000,"   Sheep, feral",  
290000000,  Unspecified land mammals,  
300000000, Marine mammals,  
300000001,"  Marine mammals, male",  
300000002,"  Marine mammals, female",  
300000009,"  Marine mammals, unknown sex",  
300200000,   Dolphins,  
300200001,"    Dolphins, male",  
300200002,"    Dolphins, female",  
300200009,"    Dolphins, unknown sex",  
300202000,    Bottlenose dolphin,Tursiops spp. 
300202001,"     Bottlenose dolphin, male",Tursiops spp. 
300202002,"     Bottlenose dolphin, female",Tursiops spp. 
300202009,"     Bottlenose dolphin, unknown sex",Tursiops spp. 
300299000,    Unspecified dolphins,  
300299001,"     Unspecified dolphins, male",  
300299002,"     Unspecified dolphins, female",  
300299009,"     Unspecified dolphins, unknown sex",  
300400000,   Polar bear,Ursus maritimus 
300400001,"    Polar bear, male",Ursus maritimus 
300400002,"    Polar bear, female",Ursus maritimus 
300400009,"    Polar bear, unknown sex",Ursus maritimus 
300600000,   Porpoises,  
300600001,"    Porpoises, male",  
300600002,"    Porpoises, female",  
300600009,"    Porpoises, unknown sex",  
300602000,    Dall porpoise,Phocoenoides dalli 
300602001,"     Dall porpoise, male",Phocoenoides dalli 
300602002,"     Dall porpoise, female",Phocoenoides dalli 
300602009,"     Dall porpoise, unknown sex",Phocoenoides dalli 
300604000,    Harbor porpoise,Phocoena phocoena 
300604001,"     Harbor porpoise, male",Phocoena phocoena 
300604002,"     Harbor porpoise, female",Phocoena phocoena 
300604009,"     Harbor porpoise, unknown sex",Phocoena phocoena 
300699000,    Unspecified porpoises,  
300699001,"     Unspecified porpoises, male",  
300699002,"     Unspecified porpoises, female",  
300699009,"     Unspecified porpoises, unknown sex",  
300800000,   Seals,  
300800001,"    Seals, male",  
300800002,"    Seals, female",  
300800009,"    Seals, unknown sex",  
300802000,    Bearded seal,Erignathus barbatus 
300802001,"     Bearded seal, male",Erignathus barbatus 
300802002,"     Bearded seal, female",Erignathus barbatus 
300802009,"     Bearded seal, unknown sex",Erignathus barbatus 
300802020,     Young bearded seal,Erignathus barbatus 
300802021,"Young bearded seal, male",Erignathus barbatus 
300802022,"Young bearded seal, female",Erignathus barbatus 
300802029,"Young bearded seal, unknown sex",Erignathus barbatus 
300802040,     Adult bearded seal,Erignathus barbatus 
300802041,"Adult bearded seal, male",Erignathus barbatus 
300802042,"Adult bearded seal, female",Erignathus barbatus 
300802049,"Adult bearded seal, unknown sex",Erignathus barbatus 
300802990,"     Bearded seal, unknown age",Erignathus barbatus 
300802991,"Bearded seal, unknown age, male",Erignathus barbatus 
300802992,"Bearded seal, unknown age, female",Erignathus barbatus 
300802999,"Bearded seal, unknown age/sex",Erignathus barbatus 
300804000,    Northern fur seal,Callorhinus ursinus 
300804001,"     Northern fur seal, male",Callorhinus ursinus 
300804002,"     Northern fur seal, female",Callorhinus ursinus 
300804009,"     Northern fur seal, unknown sex",Callorhinus ursinus 
300804020,"     Northern fur seal, communal",Callorhinus ursinus 
300804021,"Northern fur seal, communal, male",Callorhinus ursinus 
300804022,"Northern fur seal, communal, female",Callorhinus ursinus 
300804029,"Northern fur seal, communal, unknown sex",Callorhinus ursinus 
300804040,"     Northern fur seal, other",Callorhinus ursinus 
300804041,"Northern fur seal, other, male",Callorhinus ursinus 
300804042,"Northern fur seal, other, female",Callorhinus ursinus 
300804049,"Northern fur seal, other, unknown sex",Callorhinus ursinus 
300806000,    Harbor seal,Phoca vitulina 
300806001,"     Harbor seal, male",Phoca vitulina 
300806002,"     Harbor seal, female",Phoca vitulina 
300806009,"     Harbor seal, unknown sex",Phoca vitulina 
300806020,"     Harbor seal, freshwater",Phoca vitulina 
300806021,"Harbor seal, freshwater, male",Phoca vitulina 
300806022,"Harbor seal, freshwater, female",Phoca vitulina 
300806029,"Harbor seal, freshwater, unknown sex",Phoca vitulina 
300806040,"     Harbor seal, saltwater",Phoca vitulina 
300806041,"Harbor seal, saltwater, male",Phoca vitulina 
300806042,"Harbor seal, saltwater, female",Phoca vitulina 
300806049,"Harbor seal, saltwater, unknown sex",Phoca vitulina 
300806990,"     Harbor seal, unknown location",Phoca vitulina 
300806991,"Harbor seal, unknown location, male",Phoca vitulina 
300806992,"Harbor seal, unknown location, female",Phoca vitulina 
300806999,"Harbor seal, unknown location/sex",Phoca vitulina 
300808000,    Ribbon seal,Histriophoca fasciata 
300808001,"     Ribbon seal, male",Histriophoca fasciata 
300808002,"     Ribbon seal, female",Histriophoca fasciata 
300808009,"     Ribbon seal, unknown sex",Histriophoca fasciata 
300810000,    Ringed seal,Pusa hispida 
300810001,"     Ringed seal, male",Pusa hispida 
300810002,"     Ringed seal, female",Pusa hispida 
300810009,"     Ringed seal, unknown sex",Pusa hispida 
300812000,    Spotted seal,Phoca largha 
300812001,"     Spotted seal, male",Phoca largha 
300812002,"     Spotted seal, female",Phoca largha 
300812009,"     Spotted seal, unknown sex",Phoca largha 
300888000,    Unspecified seal oil,  
300888001,"     Unspecified seal oil, male",  
300888002,"     Unspecified seal oil, female",  
300888009,"     Unspecified seal oil, unknown sex",  
300899000,    Unspecified seals,  
300899001,"     Unspecified seals, male",  
300899002,"     Unspecified seals, female",  
300899009,"     Unspecified seals, unknown sex",  
301000000,   Sea otter,Enhydra lutris 
301000001,"    Sea otter, male",Enhydra lutris 
301000002,"    Sea otter, female",Enhydra lutris 
301000009,"    Sea otter, unknown sex",Enhydra lutris 
301200000,   Steller sea lion,Eumetopias jubatus 
301200001,"    Steller sea lion, male",Eumetopias jubatus 
301200002,"    Steller sea lion, female",Eumetopias jubatus 
301200009,"    Steller sea lion, unknown sex",Eumetopias jubatus 
301400000,   Walrus,Odobenus rosmarus 
301400001,"    Walrus, male",Odobenus rosmarus 
301400002,"    Walrus, female",Odobenus rosmarus 
301400009,"    Walrus, unknown sex",Odobenus rosmarus 
301600000,   Whales,  
301600001,"    Whales, male",  
301600002,"    Whales, female",  
301600009,"    Whales, unknown sex",  
301602000,    Beluga whale,Delphinapterus leucas 
301602001,"     Beluga whale, male",Delphinapterus leucas 
301602002,"     Beluga whale, female",Delphinapterus leucas 
301602009,"     Beluga whale, unknown sex",Delphinapterus leucas 
301604000,    Black fin whale,  
301604001,"     Black fin whale, male",  
301604002,"     Black fin whale, female",  
301604009,"     Black fin whale, unknown sex",  
301606000,    Bowhead whale,Balaena mysticetus 
301606001,"     Bowhead whale, male",Balaena mysticetus 
301606002,"     Bowhead whale, female",Balaena mysticetus 
301606009,"     Bowhead whale, unknown sex",Balaena mysticetus 
301608000,    Blue whale,Balaenoptera musculus 
301608001,"     Blue whale, male",Balaenoptera musculus 
301608002,"     Blue whale, female",Balaenoptera musculus 
301608009,"     Blue whale, unknown sex",Balaenoptera musculus 
301610000,    Bryde's whale,Balaenoptera brydei 
301610001,"     Bryde's whale, male",Balaenoptera brydei 
301610002,"     Bryde's whale, female",Balaenoptera brydei 
301610009,"     Bryde's whale, unknown sex",Balaenoptera brydei 
301612000,    False killer whale,Pseudorca crassidens 
301612001,"     False killer whale, male",Pseudorca crassidens 
301612002,"     False killer whale, female",Pseudorca crassidens 
301612009,"     False killer whale, unknown sex",Pseudorca crassidens 
301614000,    Fin whale,Balaenoptera physalus 
301614001,"     Fin whale, male",Balaenoptera physalus 
301614002,"     Fin whale, female",Balaenoptera physalus 
301614009,"     Fin whale, unknown sex",Balaenoptera physalus 
301616000,    Gray whale,Eschrichtius robustus 
301616001,"     Gray whale, male",Eschrichtius robustus 
301616002,"     Gray whale, female",Eschrichtius robustus 
301616009,"     Gray whale, unknown sex",Eschrichtius robustus 
301618000,    Humpback whale,Megaptera novaeangliae 
301618001,"     Humpback whale, male",Megaptera novaeangliae 
301618002,"     Humpback whale, female",Megaptera novaeangliae 
301618009,"     Humpback whale, unknown sex",Megaptera novaeangliae 
301620000,    Killer whale,Orcinus orca 
301620001,"     Killer whale, male",Orcinus orca 
301620002,"     Killer whale, female",Orcinus orca 
301620009,"     Killer whale, unknown sex",Orcinus orca 
301622000,    Common minke whale,Balaenoptera acutorostrata 
301622001,"     Common minke whale, male",Balaenoptera acutorostrata 
301622002,"     Common minke whale, female",Balaenoptera acutorostrata 
301622009,"     Common minke whale, unknown sex",Balaenoptera acutorostrata 
301624000,    Pilot whale,Globicephala spp. 
301624001,"     Pilot whale, male",Globicephala spp. 
301624002,"     Pilot whale, female",Globicephala spp. 
301624009,"     Pilot whale, unknown sex",Globicephala spp. 
301626000,    North Pacific right whale,Eubalaena japonica 
301626001,"     North Pacific right whale, male",Eubalaena japonica 
301626002,"     North Pacific right whale, female",Eubalaena japonica 
301626009,"     North Pacific right whale, unknown sex",Eubalaena japonica 
301628000,    Sei whale,Balaenoptera borealis 
301628001,"     Sei whale, male",Balaenoptera borealis 
301628002,"     Sei whale, female",Balaenoptera borealis 
301628009,"     Sei whale, unknown sex",Balaenoptera borealis 
301630000,    Sperm whale,Physeter macrocephalus 
301630001,"     Sperm whale, male",Physeter macrocephalus 
301630002,"     Sperm whale, female",Physeter macrocephalus 
301630009,"     Sperm whale, unknown sex",Physeter macrocephalus 
301699000,    Unspecified whales,  
301699001,"     Unspecified whales, male",  
301699002,"     Unspecified whales, female",  
301699009,"     Unspecified whales, unknown sex",  
309900000,   Unspecified marine mammals,  
309900001,"    Unspecified marine mammals, male",  
309900002,"    Unspecified marine mammals, female",  
309900009,"    Unspecified marine mammals, unknown sex",  
400000000, Birds and eggs,  
400000001,  Birds and eggs - spring,  
400000002,  Birds and eggs - summer,  
400000003,  Birds and eggs - fall,  
400000004,  Birds and eggs - winter,  
400000009,  Birds and eggs - season unknown,  
410000000,  Migratory birds,  
410000001,"   Migratory birds, spring",  
410000002,"   Migratory birds, summer",  
410000003,"   Migratory birds, fall",  
410000004,"   Migratory birds, winter",  
410000009,"   Migratory birds, unknown season",  
410200000,   Ducks,  
410200001,"    Ducks, spring",  
410200002,"    Ducks, summer",  
410200003,"    Ducks, fall",  
410200004,"    Ducks, winter",  
410200009,"    Ducks, unknown season",  
410202000,    Bufflehead,Bucephala albeola 
410202001,"     Bufflehead, spring",Bucephala albeola 
410202002,"     Bufflehead, summer",Bucephala albeola 
410202003,"     Bufflehead, fall",Bucephala albeola 
410202004,"     Bufflehead, winter",Bucephala albeola 
410202009,"     Bufflehead, unknown season",Bucephala albeola 
410204000,    Canvasback,Aythya valisineria 
410204001,"     Canvasback, spring",Aythya valisineria 
410204002,"     Canvasback, summer",Aythya valisineria 
410204003,"     Canvasback, fall",Aythya valisineria 
410204004,"     Canvasback, winter",Aythya valisineria 
410204009,"     Canvasback, unknown season",Aythya valisineria 
410206000,    Eiders,  
