communty,commname
313,Sitka
314,Skagway
315,Skwentna
316,Slana
317,Sleetmute
318,Soldotna
319,Solomon
320,South Naknek
321,South Wrangell Mountains
322,Sparrevohn Air Force Base
323,Saint George
324,Saint Marys (Andreafsky)
325,Saint Michael
326,Saint Paul
327,Stebbins
328,Sterling
329,Stevens Village
330,Stony River
331,Suntrana
332,Sutton
333,Takotna
334,Talkeetna
335,Tanacross
336,Tanana
337,Tatalina Station Census Designated Place
338,Tatitlek
339,Tazlina
340,Telida
341,Teller
342,Tenakee Springs
343,Tetlin
344,Thorne Bay
345,Togiak
346,Tok
347,Toksook Bay
348,Tonsina
349,Trapper Creek
350,Tuluksak
351,Tuntutuliak
352,Tununak
353,Twin Hills
354,Two Rivers
355,Tyonek
356,Ugashik
357,Unalakleet
358,Unalaska
359,Upper Kalskag
360,Usibelli Mine
361,Utopia Creek
362,Valdez
363,Venetie
364,Wainwright
365,Wales
366,Wasilla
367,White Mountain
368,White River
369,Whittier
370,Willow
371,Wiseman
372,Wrangell
373,Yakutat
374,Cape Pole
375,Coffman Cove
376,Whale Pass
377,Afognak Village
378,Kaguyak (Kodiak)
379,Shearwater Bay
380,Ayaktalik/Trinity Islands
381,Uyak Bay
382,Olga Bay
383,Eagle Harbor
384,Woody Island
385,Kizhuyak Bay
386,Danger Bay
387,Port Bailey
388,Cape Lisbourne
389,Anton Larsen Bay
390,Raspberry Straits
391,Kasegelok 
392,Port Dick
393,Koyuktolik
394,Port Chatham
395,Windy Bay
396,Chenega (Old Village)
397,Ellamar
398,Alitak
399,Two Moon
400,Kodiak - AK Natives
401,Filipinos
402,Chiniak
403,Sunrise
404,Eagle River
405,Chugiak
406,Silvertip
407,Girdwood
408,Moser Bay
409,Koomt
410,Anaktalik
411,Kashega
412,Makushin
413,Crown Point
414,Cube Cove
415,Dora Bay
416,Dry Creek
417,Evansville
418,Eyak
419,Ferry
420,Fox River
421,Freshwater Bay
422,Game Creek Census Designated Place
423,Grouse Creek Group
424,Happy Valley
425,Hobart Bay
426,LaBouchere Bay
427,Lazy Mountain
428,Lignite
429,Long Island
430,Lutak Census Designated Place
431,McCarthy
432,Meadow Lake
433,Mendeltna
434,Mosquito Lake Census Designated Place
435,Naukati Bay
436,Nikolaevsk
437,Northway Junction
438,Northway Village
439,Pleasant Valley
440,Polk Inlet
441,Port Alice
442,Primrose
443,Ridgeway
444,Lake and Peninsula School District
445,Saint John's Harbor
446,Whitestone Logging Camp
447,Women's Bay
448,Lake Creek
449,Balance of Denali Borough
450,Kodiak Is. (General)
451,Mentasta Pass
452,Paxson
453,Slana Homestead North
454,Slana Homestead South
455,Sourdough
456,West Glenn Highway
457,Balance of Lake and Peninsula Borough
458,Balance of Aleutians East Borough
459,Eagle Village
460,Beecher Pass
461,Port Protection
462,Hurricane-Broad Pass
463,Gold Creek
464,Alcan
465,Allakaket
466,Amchitka
467,Annette
468,Bettles
469,Rowan Bay
470,Parks Highway South
471,Canyon Village
472,Kachemak Selo
473,Razdolna
474,Voznesenka
475,North Fork Road
476,Yentna
